Model Name,Params (M),Input Size,LR,Batch Size,Weight Decay,Best Epoch,Val Accuracy (%),Macro F1,Weighted F1,F1 Looking,F1 Not Looking,CM_TL_PL,CM_TL_PN,CM_TNL_PL,CM_TNL_PN
EfficientNetB0 (efficientnet_b0),4.01M,224,1.00E-03,32,1.00E-04,8,95.56%,0.96,0.96,0.96,0.96,255,15,9,261
EfficientNetB1 (efficientnet_b1),6.52M,240,1.00E-03,32,1.00E-04,10,93.15%,0.93,0.93,0.93,0.93,258,12,25,245
EfficientNetB2 (efficientnet_b2),7.70M,260,1.00E-03,32,1.00E-04,5,95.19%,0.95,0.95,0.95,0.95,252,18,8,262
EfficientNetB3 (efficientnet_b3),10.70M,300,1.00E-03,32,1.00E-04,7,96.30%,0.96,0.96,0.96,0.96,259,11,9,261
GhostNet (ghostnet_100),3.90M,224,1.00E-03,32,1.00E-04,7,95.74%,0.96,0.96,0.96,0.96,261,9,14,256
MobileNetV2-Small (mobilenetv2_100),2.23M,224,1.00E-03,32,1.00E-04,5,95.00%,0.95,0.95,0.95,0.95,258,12,15,255
MobileNetV2-Large (mobilenetv2_140),4.32M,224,1.00E-03,32,1.00E-04,11,95.56%,0.96,0.96,0.96,0.96,257,13,11,259
MobileNetV3-075-Small (mobilenetv3_small_075),1.02M,224,1.00E-03,32,1.00E-04,8,93.15%,0.93,0.93,0.93,0.93,258,12,25,245
MobileNetV3-100-Small (mobilenetv3_small_100),1.52M,224,1.00E-03,32,1.00E-04,12,94.26%,0.94,0.94,0.94,0.94,257,13,18,252
MobileNetV3-100-Large (mobilenetv3_large_100),4.20M,224,1.00E-03,32,1.00E-04,4,94.26%,0.94,0.94,0.94,0.94,255,15,16,254
RegNetY-800MF (regnety_008),5.50M,224,1.00E-03,32,1.00E-04,2,94.07%,0.94,0.94,0.94,0.94,260,10,22,248
ResNet18 (resnet18),11.18M,224,1.00E-03,32,1.00E-04,6,95.00%,0.95,0.95,0.95,0.95,255,15,12,258
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
